,Type,Air temperature [K],Process temperature [K],Rotational speed [rpm],Torque [Nm],Tool wear [min],Target,Failure Type
3279,L,301.2,309.9,1382,52.4,13,0,No Failure
3280,M,301.2,309.9,1456,50.8,15,0,No Failure
3281,M,301.2,310.0,1445,45.6,18,0,No Failure
3282,L,301.2,309.9,1515,40.9,21,0,No Failure
3283,L,301.2,309.9,1449,45.5,23,0,No Failure
3284,H,301.2,309.9,1362,50.7,25,0,No Failure
3285,L,301.2,309.9,1687,29.7,30,0,No Failure
3286,L,301.2,310.0,1618,37.6,32,0,No Failure
3287,M,301.2,310.1,1558,32.6,34,0,No Failure
3288,L,301.3,310.1,1662,31.0,37,0,No Failure
3289,M,301.2,310.1,1295,56.6,39,0,No Failure
3290,L,301.2,310.2,1385,42.3,42,0,No Failure
3291,M,301.2,310.1,1479,45.5,44,0,No Failure
3292,L,301.3,310.3,1400,44.3,47,0,No Failure
3293,M,301.2,310.3,1357,54.5,49,0,No Failure
3294,L,301.1,310.2,1657,34.1,52,0,No Failure
3295,L,301.1,310.2,1496,43.4,54,0,No Failure
3296,M,301.2,310.3,1379,43.2,56,0,No Failure
3297,L,301.2,310.3,1548,38.6,59,0,No Failure
3298,L,301.2,310.3,1499,38.1,61,0,No Failure
3299,L,301.3,310.5,1390,45.8,63,0,No Failure
3300,H,301.3,310.4,1538,38.4,65,0,No Failure
3301,L,301.3,310.5,1365,47.7,70,0,No Failure
3302,L,301.3,310.5,1503,48.6,72,0,No Failure
3303,L,301.2,310.4,1390,49.9,74,0,No Failure
3304,L,301.2,310.3,1497,45.7,76,0,No Failure
3305,M,301.3,310.4,1577,48.3,78,0,No Failure
3306,L,301.4,310.5,1432,54.3,81,0,No Failure
3307,M,301.4,310.5,1563,39.9,83,0,No Failure
3308,L,301.4,310.4,1433,43.4,86,0,No Failure
3309,L,301.3,310.4,1384,50.1,88,0,No Failure
3310,L,301.3,310.4,1346,46.7,90,0,No Failure
3311,L,301.3,310.4,1459,44.7,92,0,No Failure
3312,L,301.4,310.4,1639,28.9,94,0,No Failure
3313,L,301.4,310.4,1737,31.9,96,0,No Failure
3314,L,301.4,310.5,1489,43.5,98,0,No Failure
3315,M,301.5,310.6,1492,43.0,100,0,No Failure
3316,M,301.4,310.5,1217,60.6,103,0,No Failure
3317,L,301.5,310.5,1636,28.7,106,0,No Failure
3318,L,301.4,310.4,1436,49.7,108,0,No Failure
3319,L,301.4,310.4,1689,30.6,110,0,No Failure
3320,L,301.5,310.5,2289,16.4,112,0,No Failure
3321,L,301.5,310.6,1522,41.0,114,0,No Failure
3322,L,301.5,310.5,1351,52.9,116,0,No Failure
3323,L,301.5,310.5,1589,36.7,118,0,No Failure
3324,L,301.5,310.6,1578,34.1,120,0,No Failure
3325,L,301.5,310.6,1587,33.7,122,0,No Failure
3326,L,301.5,310.6,1962,20.2,124,0,No Failure
3327,M,301.5,310.6,2432,14.2,126,0,No Failure
3328,L,301.6,310.6,1418,43.9,129,0,No Failure
3329,L,301.6,310.7,1683,29.7,131,0,No Failure
3330,L,301.7,310.8,1385,50.7,133,0,No Failure
3331,L,301.7,310.8,1559,44.5,135,0,No Failure
3332,M,301.7,310.8,1671,31.6,137,0,No Failure
3333,M,301.6,310.8,1343,49.5,140,0,No Failure
3334,M,301.6,310.8,1548,34.2,143,0,No Failure
3335,L,301.7,310.9,1705,31.2,146,0,No Failure
3336,L,301.6,310.8,1535,35.4,148,0,No Failure
3337,L,301.6,310.8,1564,34.1,150,0,No Failure
3338,M,301.6,310.9,1510,40.9,152,0,No Failure
3339,L,301.6,310.9,1492,45.2,155,0,No Failure
3340,M,301.5,310.8,1452,44.1,157,0,No Failure
3341,H,301.4,310.7,1329,52.0,160,0,No Failure
3342,L,301.5,310.8,1382,52.4,165,0,No Failure
3343,M,301.5,310.8,1628,36.4,167,0,No Failure
3344,L,301.4,310.7,1706,27.9,170,0,No Failure
3345,L,301.3,310.7,1594,34.1,172,0,No Failure
3346,L,301.3,310.7,1761,24.3,174,0,No Failure
3347,L,301.3,310.6,1529,41.8,176,0,No Failure
3348,M,301.3,310.7,1532,40.7,178,0,No Failure
3349,L,301.4,310.7,1673,27.8,181,0,No Failure
3350,L,301.4,310.8,1285,62.6,183,1,Overstrain Failure
3351,L,301.4,310.8,1680,31.4,185,0,No Failure
3352,L,301.4,310.8,1610,34.6,187,0,No Failure
3353,L,301.6,310.9,1632,31.6,189,0,No Failure
3354,L,301.6,310.9,1559,40.2,191,0,No Failure
3355,L,301.5,310.8,1367,49.0,193,0,No Failure
3356,L,301.6,310.8,1355,57.8,195,1,Overstrain Failure
3357,H,301.6,310.7,1414,51.7,197,0,No Failure
3358,L,301.5,310.6,1522,36.6,202,0,No Failure
3359,L,301.5,310.6,1525,41.9,204,0,No Failure
3360,L,301.5,310.6,1394,46.5,206,0,No Failure
3361,L,301.5,310.6,1519,40.7,208,0,No Failure
3362,L,301.4,310.6,1445,43.9,210,0,No Failure
3363,L,301.4,310.6,1555,43.3,212,0,No Failure
3364,L,301.4,310.5,1633,39.5,0,0,No Failure
3365,M,301.4,310.6,1630,30.3,2,0,No Failure
3366,M,301.4,310.7,1692,32.3,5,0,No Failure
3367,H,301.5,310.7,1790,26.2,8,0,No Failure
3368,L,301.5,310.8,1350,58.5,13,0,No Failure
3369,L,301.5,310.9,2760,8.0,15,1,Power Failure
3370,L,301.4,310.7,1584,32.2,17,0,No Failure
3371,L,301.4,310.7,1989,21.8,19,0,No Failure
3372,L,301.4,310.8,1431,44.3,21,0,No Failure
3373,L,301.4,310.7,1568,35.2,23,0,No Failure
3374,L,301.4,310.7,1376,50.6,25,0,No Failure
3375,M,301.4,310.6,1459,46.9,27,0,No Failure
3376,M,301.5,310.8,1385,47.5,30,0,No Failure
3377,H,301.5,310.8,1591,29.6,33,0,No Failure
3378,L,301.5,310.7,1568,33.1,38,0,No Failure
3379,M,301.4,310.7,1459,37.7,40,0,No Failure
3380,L,301.4,310.7,1590,36.3,43,0,No Failure
3381,L,301.3,310.6,1376,47.6,45,0,No Failure
3382,L,301.3,310.6,1510,38.5,47,0,No Failure
3383,H,301.4,310.6,1674,33.6,49,0,No Failure
3384,L,301.3,310.6,1426,40.7,54,0,No Failure
3385,L,301.5,310.7,1466,43.6,56,0,No Failure
3386,H,301.5,310.8,1474,38.7,58,0,No Failure
3387,M,301.6,310.8,1290,65.3,63,0,No Failure
3388,M,301.7,310.9,1435,48.0,66,0,No Failure
3389,M,301.5,310.7,1416,53.2,69,0,No Failure
3390,H,301.5,310.7,1599,40.4,72,0,No Failure
3391,L,301.5,310.7,1466,47.3,77,0,No Failure
3392,L,301.5,310.7,1408,47.3,79,0,No Failure
3393,L,301.5,310.6,1490,48.1,81,0,No Failure
3394,L,301.5,310.6,1405,42.3,83,0,No Failure
3395,L,301.4,310.5,1647,33.3,85,0,No Failure
3396,M,301.4,310.6,1459,35.0,87,0,No Failure
3397,L,301.4,310.6,1648,30.7,90,0,No Failure
3398,L,301.4,310.7,1675,30.7,92,0,No Failure
3399,L,301.4,310.7,1605,34.2,94,0,No Failure
3400,H,301.4,310.7,1536,44.4,96,0,No Failure
3401,M,301.4,310.7,1617,34.3,101,0,No Failure
3402,L,301.4,310.6,1347,53.3,104,0,No Failure
3403,L,301.3,310.5,1337,52.7,106,0,No Failure
3404,L,301.3,310.4,1695,30.9,108,0,No Failure
3405,M,301.3,310.4,1635,32.5,110,0,No Failure
3406,L,301.2,310.4,1470,44.0,113,0,No Failure
3407,L,301.2,310.4,1381,49.8,115,0,No Failure
3408,M,301.2,310.4,1382,41.6,117,0,No Failure
3409,M,301.2,310.4,1697,30.0,120,0,No Failure
3410,L,301.2,310.3,1451,39.7,123,0,No Failure
3411,L,301.3,310.3,1419,55.7,125,0,No Failure
3412,L,301.3,310.3,1313,55.6,127,0,No Failure
3413,L,301.3,310.3,1560,36.3,129,0,No Failure
3414,L,301.3,310.3,1555,41.2,131,0,No Failure
3415,L,301.4,310.4,1579,36.9,133,0,No Failure
3416,L,301.5,310.5,1435,44.6,135,0,No Failure
3417,L,301.6,310.6,1621,33.7,137,0,No Failure
3418,H,301.6,310.6,1555,40.4,139,0,No Failure
3419,L,301.5,310.5,1611,33.8,144,0,No Failure
3420,L,301.6,310.6,1834,23.5,146,0,No Failure
3421,M,301.5,310.5,1612,29.8,148,0,No Failure
3422,L,301.5,310.4,1629,34.1,151,0,No Failure
3423,L,301.4,310.4,1496,35.2,153,0,No Failure
3424,L,301.5,310.5,1593,32.9,155,0,No Failure
3425,M,301.5,310.5,1623,33.5,157,0,No Failure
3426,L,301.5,310.5,1380,48.7,160,0,No Failure
3427,L,301.6,310.6,1562,34.4,162,0,No Failure
3428,L,301.6,310.6,1391,49.4,164,0,No Failure
3429,H,301.5,310.5,1551,34.3,166,0,No Failure
3430,H,301.6,310.6,1821,26.2,171,0,No Failure
3431,L,301.6,310.7,1429,43.6,176,0,No Failure
3432,M,301.6,310.7,2012,20.7,178,0,No Failure
3433,M,301.6,310.6,1924,23.6,181,0,No Failure
3434,M,301.5,310.5,1412,44.1,184,0,No Failure
3435,L,301.5,310.5,1389,54.9,187,0,No Failure
3436,L,301.5,310.5,1466,48.1,189,0,No Failure
3437,L,301.5,310.5,2297,15.8,191,0,No Failure
3438,L,301.4,310.4,1471,37.5,193,0,No Failure
3439,L,301.4,310.3,1492,41.4,195,0,No Failure
3440,L,301.3,310.3,1460,41.5,197,0,No Failure
3441,L,301.4,310.4,1559,39.4,199,0,No Failure
3442,M,301.4,310.5,1495,52.5,201,0,No Failure
3443,L,301.5,310.5,1535,39.0,204,0,No Failure
3444,L,301.5,310.6,1381,50.7,206,0,No Failure
3445,M,301.6,310.6,1599,36.1,208,0,No Failure
3446,H,301.6,310.6,1400,49.5,211,0,No Failure
3447,L,301.7,310.6,1624,34.5,216,0,No Failure
3448,L,301.6,310.6,1478,36.6,218,0,No Failure
3449,L,301.7,310.7,1605,33.3,220,0,No Failure
3450,L,301.6,310.6,1506,43.4,222,0,No Failure
3451,L,301.6,310.6,1455,43.9,0,0,No Failure
3452,H,301.6,310.5,1602,32.3,2,0,Random Failures
3453,L,301.5,310.4,1425,54.4,7,0,No Failure
3454,L,301.5,310.4,1918,21.8,9,0,No Failure
3455,H,301.4,310.3,1611,41.5,11,0,No Failure
3456,H,301.4,310.4,1610,38.6,16,0,No Failure
3457,M,301.5,310.4,2639,12.0,21,1,Power Failure
3458,L,301.5,310.4,1329,46.6,24,0,No Failure
3459,L,301.5,310.4,1270,54.2,26,0,No Failure
3460,L,301.5,310.3,1415,41.6,28,0,No Failure
3461,H,301.6,310.4,1330,49.5,30,0,No Failure
3462,H,301.6,310.5,1786,27.1,35,0,No Failure
3463,L,301.6,310.5,1809,25.5,40,0,No Failure
3464,L,301.7,310.6,1303,59.7,42,0,No Failure
3465,M,301.8,310.7,1383,45.7,44,0,No Failure
3466,L,301.7,310.6,1447,56.9,47,0,No Failure
3467,L,301.8,310.7,1461,44.2,49,0,No Failure
3468,L,301.8,310.7,2092,18.6,51,0,No Failure
3469,M,301.8,310.7,1429,47.9,53,0,No Failure
3470,L,301.8,310.8,1736,26.5,56,0,No Failure
3471,L,301.8,310.7,1441,49.3,58,0,No Failure
3472,L,301.8,310.7,1523,43.3,60,0,No Failure
3473,M,301.8,310.8,1691,33.4,62,0,No Failure
3474,M,301.9,310.8,1557,35.3,65,0,No Failure
3475,L,301.8,310.7,1644,33.4,68,0,No Failure
3476,L,301.8,310.6,1522,43.8,70,0,No Failure
3477,L,301.8,310.7,1547,41.7,72,0,No Failure
3478,L,301.8,310.7,1597,30.8,74,0,No Failure
3479,M,301.8,310.8,1619,31.0,76,0,No Failure
3480,L,301.9,310.8,1400,58.2,79,0,No Failure
3481,L,302.0,310.9,1663,31.5,81,0,No Failure
3482,L,301.9,310.8,1540,37.6,83,0,No Failure
3483,H,301.9,310.8,1455,42.7,85,0,No Failure
3484,L,301.9,310.8,1519,39.0,90,0,No Failure
3485,L,301.9,310.8,1427,47.7,92,0,No Failure
3486,L,301.9,310.8,1650,29.8,94,0,No Failure
3487,M,301.8,310.8,1508,38.8,96,0,No Failure
3488,L,301.9,310.9,1379,54.8,99,0,No Failure
3489,L,301.9,310.9,1542,36.7,101,0,No Failure
3490,M,301.9,310.9,1763,28.4,103,0,No Failure
3491,H,301.9,310.9,1590,34.3,106,0,No Failure
3492,H,301.9,311.0,1336,63.6,111,0,No Failure
3493,M,301.9,311.0,1638,35.4,116,0,No Failure
3494,L,301.9,311.0,1356,45.7,119,0,No Failure
3495,M,301.9,311.0,1384,47.4,121,0,No Failure
3496,L,301.9,310.9,1309,48.0,124,0,No Failure
3497,L,301.9,311.0,1642,33.1,126,0,No Failure
3498,L,301.9,311.0,1289,54.9,128,0,No Failure
3499,L,301.9,311.0,1353,43.8,130,0,No Failure
3500,H,301.9,311.0,1871,26.0,132,0,No Failure
3501,H,301.9,311.0,1291,63.6,137,0,No Failure
3502,M,301.8,310.9,1346,44.6,142,0,No Failure
3503,L,301.7,310.8,1493,47.6,145,0,No Failure
3504,M,301.7,310.8,1524,41.3,147,0,No Failure
3505,L,301.6,310.8,1726,26.7,150,0,No Failure
3506,H,301.6,310.8,1435,47.2,152,0,No Failure
3507,M,301.7,310.8,1502,34.4,157,0,No Failure
3508,L,301.7,310.9,1608,33.0,160,0,No Failure
3509,L,301.8,311.0,1771,27.2,162,0,No Failure
3510,L,301.7,311.0,1474,42.6,164,0,No Failure
3511,L,301.8,311.0,1322,53.0,166,0,No Failure
3512,M,301.8,311.0,1393,49.5,168,0,No Failure
3513,M,301.9,311.1,1417,52.5,171,0,No Failure
3514,H,301.9,311.0,1430,49.8,174,0,No Failure
3515,M,301.9,311.1,1605,40.0,179,0,No Failure
3516,L,302.0,311.1,1402,47.8,182,0,No Failure
3517,L,302.0,311.0,1550,35.2,184,0,No Failure
3518,L,301.9,311.0,1376,44.9,186,0,No Failure
3519,M,301.9,310.9,1569,32.5,188,0,No Failure
3520,L,301.9,311.0,1669,32.2,191,0,No Failure
3521,L,301.9,311.0,1541,38.9,193,0,No Failure
3522,L,301.8,311.0,1651,32.5,195,0,No Failure
3523,L,301.8,310.9,1521,39.3,197,0,No Failure
3524,M,301.8,310.8,1365,48.2,199,0,No Failure
3525,L,301.8,310.9,1609,31.7,202,0,No Failure
3526,H,301.8,310.8,1470,37.6,204,0,No Failure
3527,M,301.9,310.9,1573,38.9,209,0,No Failure
3528,L,302.0,310.9,1378,53.1,212,1,Overstrain Failure
3529,L,301.9,310.9,1567,39.0,214,1,Tool Wear Failure
3530,M,301.9,310.9,1441,43.7,0,0,No Failure
3531,M,301.9,310.9,1641,33.2,3,0,No Failure
3532,L,301.9,310.9,1486,40.3,6,0,No Failure
3533,L,302.0,311.0,1563,36.2,8,0,No Failure
3534,M,302.0,311.1,1769,26.0,10,0,No Failure
3535,H,301.9,311.0,1672,29.9,13,0,No Failure
3536,L,302.0,311.0,1632,34.2,18,0,No Failure
3537,M,302.0,311.0,1980,21.5,20,0,No Failure
3538,L,302.0,311.1,1635,36.0,23,0,No Failure
3539,L,302.0,311.0,1686,32.5,25,0,No Failure
3540,L,301.9,310.9,1574,31.4,27,0,No Failure
3541,L,301.8,310.8,1546,43.4,29,0,No Failure
3542,L,301.8,310.9,1899,24.7,31,0,No Failure
3543,L,301.8,310.9,1449,36.5,33,0,No Failure
3544,M,301.9,310.9,1483,37.0,35,0,No Failure
3545,L,301.8,310.8,1576,38.6,38,0,No Failure
3546,M,301.9,310.9,1317,51.9,40,0,No Failure
3547,M,301.9,311.0,1467,48.1,43,0,No Failure
3548,L,301.9,310.9,1616,34.5,46,0,No Failure
3549,M,301.8,310.9,1299,60.4,48,0,No Failure
3550,M,301.9,311.0,1432,41.5,51,0,No Failure
3551,L,301.9,310.9,1799,24.2,54,0,No Failure
3552,M,301.8,310.9,1358,52.3,56,0,No Failure
3553,M,301.8,310.8,1618,37.8,59,0,No Failure
3554,L,301.9,310.8,1525,43.2,62,0,No Failure
3555,L,301.8,310.7,1551,37.7,64,0,No Failure
3556,L,301.9,310.8,1735,31.5,66,0,No Failure
3557,M,301.8,310.7,1309,43.3,68,0,No Failure
3558,L,301.7,310.6,1743,26.2,71,0,No Failure
3559,M,301.7,310.7,1659,29.9,73,0,No Failure
3560,L,301.8,310.7,1680,32.4,76,0,No Failure
3561,L,301.7,310.6,1486,38.5,78,0,No Failure
3562,L,301.7,310.6,1471,43.8,80,0,No Failure
3563,M,301.8,310.7,1465,35.8,82,0,No Failure
3564,M,301.7,310.6,1492,42.2,85,0,No Failure
3565,M,301.8,310.7,1420,52.0,88,0,No Failure
3566,L,301.8,310.6,1295,62.3,91,0,No Failure
3567,L,301.8,310.5,1548,34.1,93,0,No Failure
3568,L,301.8,310.6,1372,54.7,95,0,No Failure
3569,M,301.8,310.6,1552,35.9,97,0,No Failure
3570,H,301.8,310.6,1441,46.3,100,0,No Failure
3571,M,301.7,310.6,1691,27.7,105,0,No Failure
3572,L,301.8,310.6,1451,50.7,108,0,No Failure
3573,L,301.8,310.6,1452,48.4,110,0,No Failure
3574,L,301.7,310.6,1406,46.0,112,0,No Failure
3575,L,301.7,310.5,1567,39.1,114,0,No Failure
3576,L,301.6,310.4,1599,41.7,116,0,No Failure
3577,M,301.6,310.4,1455,39.0,118,0,No Failure
3578,M,301.7,310.5,1625,35.9,121,0,No Failure
3579,L,301.8,310.6,2672,11.8,124,1,Power Failure
3580,L,301.8,310.6,1650,31.9,126,0,No Failure
3581,M,301.8,310.6,1459,40.2,128,0,No Failure
3582,L,301.8,310.6,1395,50.5,131,0,No Failure
3583,L,301.8,310.7,1751,29.3,133,0,No Failure
3584,L,301.8,310.6,1192,68.9,135,0,No Failure
3585,L,301.9,310.7,1947,25.0,137,0,No Failure
3586,L,301.8,310.5,1593,34.9,139,0,No Failure
3587,H,301.8,310.5,1478,38.6,141,0,No Failure
3588,M,301.7,310.6,1505,44.5,146,0,No Failure
3589,L,301.7,310.5,2465,13.7,149,0,No Failure
3590,L,301.8,310.6,1403,46.8,151,0,No Failure
3591,M,301.7,310.5,1458,41.4,153,0,No Failure
3592,H,301.6,310.4,1369,45.4,156,0,No Failure
3593,M,301.6,310.4,1377,44.9,161,0,No Failure
3594,M,301.6,310.4,1452,45.7,164,0,No Failure
3595,L,301.6,310.4,1517,41.1,167,0,No Failure
3596,L,301.7,310.5,1354,50.0,169,0,No Failure
3597,M,301.7,310.5,1724,33.0,171,0,No Failure
3598,L,301.7,310.5,1399,53.2,174,0,No Failure
3599,H,301.7,310.5,1388,50.5,176,0,No Failure
3600,L,301.7,310.5,1523,34.7,181,0,No Failure
3601,L,301.7,310.5,1377,43.1,183,0,No Failure
3602,M,301.7,310.6,1417,45.2,185,0,No Failure
3603,L,301.7,310.7,1542,40.0,188,0,No Failure
3604,L,301.8,310.8,1557,33.3,190,0,No Failure
3605,L,301.7,310.7,1641,31.9,192,0,No Failure
3606,L,301.7,310.7,1318,55.0,194,0,No Failure
3607,L,301.6,310.7,1638,33.8,196,0,No Failure
3608,M,301.7,310.8,1954,21.6,198,0,No Failure
3609,M,301.7,310.9,1644,32.5,201,0,No Failure
3610,M,301.7,310.8,1594,32.4,204,0,No Failure
3611,L,301.7,310.9,1405,46.4,207,1,Tool Wear Failure
3612,L,301.7,310.8,1622,37.8,0,0,No Failure
3613,L,301.7,310.9,1557,39.4,2,0,No Failure
3614,L,301.8,311.0,1606,33.3,4,0,No Failure
3615,M,301.8,311.1,1647,31.6,6,0,No Failure
3616,M,301.8,311.1,1413,42.2,9,0,No Failure
3617,L,301.8,311.0,1529,41.6,12,0,No Failure
3618,L,301.9,311.1,1448,46.3,14,0,No Failure
3619,L,301.9,311.2,1435,44.2,16,0,No Failure
3620,H,301.9,311.2,1474,41.8,18,0,No Failure
3621,L,301.9,311.2,1657,29.1,23,0,No Failure
3622,L,302.0,311.3,1509,39.9,25,0,No Failure
3623,M,302.0,311.3,1530,36.4,27,0,No Failure
3624,M,302.0,311.4,1587,35.9,30,0,No Failure
3625,M,302.1,311.4,1467,43.4,33,0,No Failure
3626,M,302.2,311.5,1360,53.0,36,0,No Failure
3627,L,302.2,311.5,1588,30.6,39,0,No Failure
3628,L,302.2,311.4,1609,32.1,41,0,No Failure
3629,L,302.1,311.3,1415,44.1,43,0,No Failure
3630,L,302.0,311.2,1845,27.3,45,0,No Failure
3631,M,302.1,311.4,1419,36.2,47,0,No Failure
3632,L,302.1,311.3,1634,30.6,50,0,No Failure
3633,M,302.2,311.3,1521,40.6,52,0,No Failure
3634,L,302.2,311.4,1499,37.7,55,0,No Failure
3635,M,302.1,311.2,1616,35.1,57,0,No Failure
3636,L,302.2,311.4,1449,46.5,60,0,No Failure
3637,M,302.2,311.4,1626,31.6,62,0,No Failure
3638,M,302.3,311.5,1445,44.8,65,0,No Failure
3639,L,302.4,311.6,1622,35.0,68,0,No Failure
3640,H,302.4,311.6,1544,39.1,70,0,No Failure
3641,L,302.3,311.6,1488,41.8,75,0,No Failure
3642,L,302.3,311.6,1309,57.6,77,0,No Failure
3643,L,302.3,311.6,1784,26.4,79,0,No Failure
3644,L,302.2,311.5,1548,32.4,81,0,No Failure
3645,L,302.2,311.5,1413,43.5,83,0,No Failure
3646,M,302.2,311.5,1863,25.7,85,0,No Failure
3647,L,302.2,311.5,1427,43.8,88,0,No Failure
3648,M,302.2,311.5,1443,47.0,90,0,No Failure
3649,L,302.2,311.5,1481,40.4,93,0,No Failure
3650,L,302.1,311.4,1446,39.7,95,0,No Failure
3651,L,302.1,311.5,1444,44.9,97,0,No Failure
3652,M,302.1,311.5,1341,50.8,99,0,No Failure
3653,L,302.1,311.4,1518,37.4,102,0,No Failure
3654,L,302.1,311.4,1603,35.9,104,0,No Failure
3655,L,302.1,311.4,1686,30.9,106,0,No Failure
3656,M,302.1,311.5,1383,53.6,108,0,No Failure
3657,L,302.1,311.5,1477,45.4,111,0,No Failure
3658,M,302.2,311.5,1449,44.5,113,0,No Failure
3659,M,302.2,311.5,1734,25.0,116,0,No Failure
3660,L,302.3,311.6,1398,49.1,119,0,No Failure
3661,M,302.3,311.7,1639,36.6,121,0,No Failure
3662,M,302.3,311.7,1517,37.6,124,0,No Failure
3663,M,302.3,311.7,1442,41.7,127,0,No Failure
3664,M,302.3,311.7,1685,30.8,130,0,No Failure
3665,M,302.4,311.8,1358,50.6,133,0,No Failure
3666,M,302.3,311.6,1608,39.9,136,0,No Failure
3667,L,302.3,311.6,1665,34.3,139,0,No Failure
3668,L,302.3,311.7,1510,38.7,141,0,No Failure
3669,L,302.4,311.8,1465,40.2,143,0,No Failure
3670,L,302.3,311.7,1701,27.5,145,0,No Failure
3671,M,302.3,311.7,1486,39.6,147,0,No Failure
3672,L,302.3,311.6,1658,32.3,150,0,No Failure
3673,H,302.3,311.7,1449,44.5,152,0,No Failure
3674,L,302.2,311.5,1346,52.4,157,0,No Failure
3675,M,302.1,311.5,1866,23.1,159,0,No Failure
3676,M,302.2,311.5,1562,38.0,162,0,No Failure
3677,M,302.3,311.7,1368,53.6,165,0,No Failure
3678,L,302.2,311.5,1567,33.1,168,0,No Failure
3679,L,302.2,311.5,1725,34.0,170,0,No Failure
3680,L,302.2,311.5,1744,31.2,172,0,No Failure
3681,M,302.1,311.3,1453,45.1,174,0,No Failure
3682,L,302.1,311.2,1550,34.8,177,0,No Failure
3683,M,302.0,311.2,1558,39.1,179,0,No Failure
3684,L,302.0,311.2,1270,65.3,182,1,Overstrain Failure
3685,M,301.9,311.1,1380,51.6,184,0,No Failure
3686,L,302.0,311.1,1406,50.5,187,0,No Failure
3687,M,302.0,311.2,1625,30.7,189,0,No Failure
3688,L,302.0,311.2,1420,45.8,192,0,No Failure
3689,L,302.1,311.4,1889,22.7,194,0,No Failure
3690,L,302.1,311.3,1477,43.6,196,0,No Failure
3691,L,302.1,311.2,1460,46.9,198,0,No Failure
3692,L,302.1,311.3,1758,24.4,200,0,No Failure
3693,L,302.1,311.3,1521,31.5,202,0,No Failure
3694,M,302.1,311.3,1511,45.0,204,0,No Failure
3695,L,302.2,311.3,1530,37.3,207,1,Tool Wear Failure
3696,L,302.1,311.2,1454,46.8,0,0,No Failure
3697,L,302.2,311.2,1928,23.1,2,0,No Failure
3698,H,302.2,311.3,1758,26.4,4,0,No Failure
3699,L,302.2,311.2,1649,33.2,9,0,No Failure
3700,L,302.1,311.2,1447,50.3,11,0,No Failure
3701,L,302.1,311.2,1417,48.0,13,0,No Failure
3702,L,302.0,311.2,1434,44.9,15,0,No Failure
3703,M,302.0,311.2,1418,49.5,17,0,No Failure
3704,M,302.0,311.2,1400,49.5,20,0,No Failure
3705,M,302.0,311.3,1725,27.7,23,0,No Failure
3706,L,302.0,311.3,1567,41.1,26,0,No Failure
3707,M,302.1,311.3,1497,38.4,28,0,No Failure
3708,L,302.1,311.4,1549,44.6,31,0,No Failure
3709,L,302.2,311.4,1754,26.9,33,0,No Failure
3710,L,302.2,311.5,1489,38.3,35,0,No Failure
3711,L,302.2,311.5,1543,38.5,37,0,No Failure
3712,L,302.3,311.5,1543,33.1,39,0,No Failure
3713,L,302.3,311.5,1565,35.6,41,0,No Failure
3714,M,302.3,311.4,1855,23.9,43,0,No Failure
3715,M,302.4,311.4,1475,45.2,46,0,No Failure
3716,L,302.3,311.4,1609,32.3,49,0,No Failure
3717,H,302.3,311.4,1443,44.1,51,0,No Failure
3718,L,302.4,311.4,1450,44.1,56,0,No Failure
3719,L,302.4,311.5,1590,39.9,58,0,No Failure
3720,M,302.4,311.4,1508,41.2,60,0,No Failure
3721,M,302.2,311.2,1544,43.6,63,0,No Failure
3722,L,302.2,311.2,1451,41.8,66,0,No Failure
3723,L,302.3,311.2,1758,24.4,68,0,No Failure
3724,M,302.3,311.2,1507,47.7,70,0,No Failure
3725,H,302.3,311.1,1543,37.5,73,0,No Failure
3726,M,302.3,311.2,1505,36.7,78,0,No Failure
3727,L,302.3,311.2,1786,24.3,81,0,No Failure
3728,L,302.3,311.3,1457,44.5,83,0,No Failure
3729,M,302.4,311.3,1312,61.5,85,0,No Failure
3730,M,302.3,311.2,1405,47.7,88,0,No Failure
3731,M,302.2,311.2,1377,43.0,91,0,No Failure
3732,M,302.2,311.2,1347,49.8,94,0,No Failure
3733,L,302.2,311.1,1470,39.6,97,0,No Failure
3734,M,302.2,311.2,1873,24.0,99,0,No Failure
3735,M,302.2,311.1,1434,58.6,102,0,No Failure
3736,H,302.2,311.1,1628,30.6,105,0,No Failure
3737,L,302.2,311.1,1351,48.6,110,0,No Failure
3738,M,302.3,311.2,1454,43.8,112,0,No Failure
3739,M,302.2,311.2,1663,29.6,115,0,No Failure
3740,L,302.3,311.2,1401,49.7,118,0,No Failure
3741,L,302.4,311.3,1503,38.2,120,0,No Failure
3742,L,302.4,311.4,1564,35.0,122,0,No Failure
3743,L,302.5,311.4,1759,24.6,124,0,No Failure
3744,L,302.5,311.4,1409,53.1,126,0,No Failure
3745,L,302.6,311.4,1738,25.8,128,0,No Failure
3746,H,302.5,311.3,1393,47.5,130,0,No Failure
3747,L,302.5,311.1,1499,38.8,135,0,No Failure
3748,L,302.5,311.1,1493,39.0,137,0,No Failure
3749,L,302.4,311.1,1652,33.9,139,0,No Failure
3750,L,302.3,311.1,1589,29.9,141,0,No Failure
3751,L,302.4,311.1,1520,42.2,143,0,No Failure
3752,H,302.3,311.1,1455,40.3,145,0,No Failure
3753,L,302.2,311.0,1463,46.8,150,0,No Failure
3754,L,302.3,311.0,1442,43.7,152,0,No Failure
3755,L,302.3,311.0,1329,51.5,154,0,No Failure
3756,L,302.3,311.1,1546,33.1,156,0,No Failure
3757,M,302.2,311.1,1516,33.7,158,0,No Failure
